profile,slurm_id1,run_id,itnum,ncpu,ngpu,function,time_ms
profile,eagle_REPEAT_cs_CRAN_12335730,12335736,1,4,4,calc_extBIC,2010.592
profile,eagle_REPEAT_cs_CRAN_12335730,12335736,1,4,4,calcVC,1489.315
profile,eagle_REPEAT_cs_CRAN_12335730,12335736,1,4,4,MMt,101446.538
profile,eagle_REPEAT_cs_CRAN_12335730,12335735,4,2,4,find_qtl,196960.533
profile,eagle_REPEAT_cs_CRAN_12335730,12335735,4,2,4,constructX,24270.458
profile,eagle_REPEAT_cs_CRAN_12335730,12335735,4,2,4,calc_extBIC,2373.382
profile,eagle_REPEAT_cs_CRAN_12335730,12335735,4,2,4,calcVC,1339.288
profile,eagle_REPEAT_cs_CRAN_12335730,12335735,3,2,4,find_qtl,201887.561
profile,eagle_REPEAT_cs_CRAN_12335730,12335735,3,2,4,constructX,24087.398
profile,eagle_REPEAT_cs_CRAN_12335730,12335735,3,2,4,calc_extBIC,2344.613
profile,eagle_REPEAT_cs_CRAN_12335730,12335735,3,2,4,calcVC,1363.687
profile,eagle_REPEAT_cs_CRAN_12335730,12335735,2,2,4,find_qtl,200049.539
profile,eagle_REPEAT_cs_CRAN_12335730,12335735,2,2,4,constructX,24170.845
profile,eagle_REPEAT_cs_CRAN_12335730,12335735,2,2,4,calc_extBIC,2437.95
profile,eagle_REPEAT_cs_CRAN_12335730,12335735,2,2,4,calcVC,1494.462
profile,eagle_REPEAT_cs_CRAN_12335730,12335735,1,2,4,invMMt,257.901
profile,eagle_REPEAT_cs_CRAN_12335730,12335735,1,2,4,find_qtl,211808.677
profile,eagle_REPEAT_cs_CRAN_12335730,12335735,1,2,4,constructX,0.083
profile,eagle_REPEAT_cs_CRAN_12335730,12335735,1,2,4,calc_extBIC,2425.817
profile,eagle_REPEAT_cs_CRAN_12335730,12335735,1,2,4,calcVC,1757.464
profile,eagle_REPEAT_cs_CRAN_12335730,12335735,1,2,4,MMt,161151.052
profile,eagle_REPEAT_cs_CRAN_12335730,12335734,4,1,4,find_qtl,316261.606
profile,eagle_REPEAT_cs_CRAN_12335730,12335734,4,1,4,constructX,21139.287
profile,eagle_REPEAT_cs_CRAN_12335730,12335734,4,1,4,calc_extBIC,3157.475
profile,eagle_REPEAT_cs_CRAN_12335730,12335734,4,1,4,calcVC,1750.927
profile,eagle_REPEAT_cs_CRAN_12335730,12335734,3,1,4,find_qtl,339138.572
profile,eagle_REPEAT_cs_CRAN_12335730,12335734,3,1,4,constructX,21031.203
profile,eagle_REPEAT_cs_CRAN_12335730,12335734,3,1,4,calc_extBIC,3123.289
profile,eagle_REPEAT_cs_CRAN_12335730,12335734,3,1,4,calcVC,1733.394
profile,eagle_REPEAT_cs_CRAN_12335730,12335734,2,1,4,find_qtl,340418.598
profile,eagle_REPEAT_cs_CRAN_12335730,12335734,2,1,4,constructX,21284.309
profile,eagle_REPEAT_cs_CRAN_12335730,12335734,2,1,4,calc_extBIC,3234.393
profile,eagle_REPEAT_cs_CRAN_12335730,12335734,2,1,4,calcVC,1908.072
profile,eagle_REPEAT_cs_CRAN_12335730,12335734,1,1,4,invMMt,330.104
profile,eagle_REPEAT_cs_CRAN_12335730,12335734,1,1,4,find_qtl,337545.837
profile,eagle_REPEAT_cs_CRAN_12335730,12335734,1,1,4,constructX,0.082
profile,eagle_REPEAT_cs_CRAN_12335730,12335734,1,1,4,calc_extBIC,3154.2
profile,eagle_REPEAT_cs_CRAN_12335730,12335734,1,1,4,calcVC,2077.359
profile,eagle_REPEAT_cs_CRAN_12335730,12335734,1,1,4,MMt,290504.572
profile,eagle_REPEAT_cs_CRAN_12335703,12335712,4,14,3,find_qtl,61301.662
profile,eagle_REPEAT_cs_CRAN_12335703,12335712,4,14,3,constructX,24047.197
profile,eagle_REPEAT_cs_CRAN_12335703,12335712,4,14,3,calc_extBIC,1924.852
profile,eagle_REPEAT_cs_CRAN_12335703,12335712,4,14,3,calcVC,1138.42
profile,eagle_REPEAT_cs_CRAN_12335703,12335712,3,14,3,find_qtl,61091.039
profile,eagle_REPEAT_cs_CRAN_12335703,12335712,3,14,3,constructX,24093.341
