profile,slurm_id1,run_id,itnum,ncpu,ngpu,function,time_ms
profile,12110280,12110292,1,2,0,find_qtl,88873.848
profile,12110280,12110292,1,2,0,constructX,0.148
profile,12110280,12110292,1,2,0,calc_extBIC,2861.636
profile,12110280,12110292,1,2,0,calcVC,2069.294
profile,12110280,12110292,1,2,0,MMt,56088.383
profile,12110280,12110291,4,1,0,find_qtl,125317.531
profile,12110280,12110291,4,1,0,constructX,16021.638
profile,12110280,12110291,4,1,0,calc_extBIC,3838.697
profile,12110280,12110291,4,1,0,calcVC,2359.703
profile,12110280,12110291,3,1,0,find_qtl,125394.537
profile,12110280,12110291,3,1,0,constructX,15991.399
profile,12110280,12110291,3,1,0,calc_extBIC,3776.58
profile,12110280,12110291,3,1,0,calcVC,2449.436
profile,12110280,12110291,2,1,0,find_qtl,126231.957
profile,12110280,12110291,2,1,0,constructX,16107.846
profile,12110280,12110291,2,1,0,calc_extBIC,3922.682
profile,12110280,12110291,2,1,0,calcVC,2440.934
profile,12110280,12110291,1,1,0,invMMt,346.663
profile,12110280,12110291,1,1,0,find_qtl,127370.597
profile,12110280,12110291,1,1,0,constructX,0.143
profile,12110280,12110291,1,1,0,calc_extBIC,3975.821
profile,12110280,12110291,1,1,0,calcVC,2953.84
profile,12110280,12110291,1,1,0,MMt,96698.536
profile,12110274,12110289,4,28,0,find_qtl,24691.998
profile,12110274,12110289,4,28,0,constructX,15494.019
profile,12110274,12110289,4,28,0,calc_extBIC,1920.914
profile,12110274,12110289,4,28,0,calcVC,1081.664
profile,12110274,12110289,3,28,0,find_qtl,24548.847
profile,12110274,12110289,3,28,0,constructX,15464.831
profile,12110274,12110289,3,28,0,calc_extBIC,1853.149
profile,12110274,12110289,3,28,0,calcVC,1189.391
profile,12110274,12110289,2,28,0,find_qtl,24817.898
profile,12110274,12110289,2,28,0,constructX,15552.005
profile,12110274,12110289,2,28,0,calc_extBIC,2047.602
profile,12110274,12110289,2,28,0,calcVC,1288.83
profile,12110274,12110289,1,28,0,invMMt,211.305
profile,12110274,12110289,1,28,0,find_qtl,26104.803
profile,12110274,12110289,1,28,0,constructX,0.139
profile,12110274,12110289,1,28,0,calc_extBIC,1924.855
profile,12110274,12110289,1,28,0,calcVC,1399.872
profile,12110274,12110289,1,28,0,MMt,31438.325
profile,12110274,12110288,4,21,0,find_qtl,23501.27
profile,12110274,12110288,4,21,0,constructX,15357.958
profile,12110274,12110288,4,21,0,calc_extBIC,1898.396
profile,12110274,12110288,4,21,0,calcVC,1095.101
profile,12110274,12110288,3,21,0,find_qtl,23627.326
profile,12110274,12110288,3,21,0,constructX,15367.564
profile,12110274,12110288,3,21,0,calc_extBIC,1851.013
profile,12110274,12110288,3,21,0,calcVC,1286.598
profile,12110274,12110288,2,21,0,find_qtl,28264.122
profile,12110274,12110288,2,21,0,constructX,15619.474
profile,12110274,12110288,2,21,0,calc_extBIC,2029.702
profile,12110274,12110288,2,21,0,calcVC,1227.365
profile,12110274,12110288,1,21,0,invMMt,200.551
profile,12110274,12110288,1,21,0,find_qtl,23643.809
profile,12110274,12110288,1,21,0,constructX,0.126
profile,12110274,12110288,1,21,0,calc_extBIC,1965.193
profile,12110274,12110288,1,21,0,calcVC,1612.083
profile,12110274,12110288,1,21,0,MMt,29379.699
profile,12110274,12110287,4,14,0,find_qtl,30803.07
profile,12110274,12110287,4,14,0,constructX,21859.649
profile,12110274,12110287,4,14,0,calc_extBIC,1884.253
profile,12110274,12110287,4,14,0,calcVC,1060.113
profile,12110274,12110287,3,14,0,find_qtl,32750.676
profile,12110274,12110287,3,14,0,constructX,23524.91
profile,12110274,12110287,3,14,0,calc_extBIC,1790.513
profile,12110274,12110287,3,14,0,calcVC,1137.55
profile,12110274,12110287,2,14,0,find_qtl,33245.002
profile,12110274,12110287,2,14,0,constructX,22503.773
profile,12110274,12110287,2,14,0,calc_extBIC,1967.607
profile,12110274,12110287,2,14,0,calcVC,1184.363
profile,12110274,12110287,1,14,0,invMMt,227.023
profile,12110274,12110287,1,14,0,find_qtl,33891.926
profile,12110274,12110287,1,14,0,constructX,0.138
profile,12110274,12110287,1,14,0,calc_extBIC,1983.002
profile,12110274,12110287,1,14,0,calcVC,1535.322
profile,12110274,12110287,1,14,0,MMt,38258.926
profile,12110274,12110286,4,12,0,find_qtl,33389.899
profile,12110274,12110286,4,12,0,constructX,21135.295
profile,12110274,12110286,4,12,0,calc_extBIC,1905.998
profile,12110274,12110286,4,12,0,calcVC,1076.235
profile,12110274,12110286,3,12,0,find_qtl,31982.055
profile,12110274,12110286,3,12,0,constructX,21000.238
profile,12110274,12110286,3,12,0,calc_extBIC,1798.592
profile,12110274,12110286,3,12,0,calcVC,1126.818
profile,12110274,12110286,2,12,0,find_qtl,33931.166
profile,12110274,12110286,2,12,0,constructX,21422.359
profile,12110274,12110286,2,12,0,calc_extBIC,2019.743
profile,12110274,12110286,2,12,0,calcVC,1170.036
profile,12110274,12110286,1,12,0,invMMt,178.573
profile,12110274,12110286,1,12,0,find_qtl,36315.585
profile,12110274,12110286,1,12,0,constructX,0.132
profile,12110274,12110286,1,12,0,calc_extBIC,2071.83
profile,12110274,12110286,1,12,0,calcVC,1534.782
profile,12110274,12110286,1,12,0,MMt,39281.35
profile,12110274,12110285,4,10,0,find_qtl,34519.353
profile,12110274,12110285,4,10,0,constructX,21698.204
profile,12110274,12110285,4,10,0,calc_extBIC,1857.57
profile,12110274,12110285,4,10,0,calcVC,1049.201
profile,12110274,12110285,3,10,0,find_qtl,37681.488
profile,12110274,12110285,3,10,0,constructX,22028.819
profile,12110274,12110285,3,10,0,calc_extBIC,1775.807
profile,12110274,12110285,3,10,0,calcVC,1089.257
profile,12110274,12110285,2,10,0,find_qtl,34237.794
profile,12110274,12110285,2,10,0,constructX,21568.276
profile,12110274,12110285,2,10,0,calc_extBIC,1942.668
profile,12110274,12110285,2,10,0,calcVC,1184.007
profile,12110274,12110285,1,10,0,invMMt,161.2
profile,12110274,12110285,1,10,0,find_qtl,37065.091
profile,12110274,12110285,1,10,0,constructX,0.136
profile,12110274,12110285,1,10,0,calc_extBIC,1931.305
profile,12110274,12110285,1,10,0,calcVC,1501.78
profile,12110274,12110285,1,10,0,MMt,30816.283
profile,12110274,12110284,4,8,0,find_qtl,40062.372
profile,12110274,12110284,4,8,0,constructX,20617.127
profile,12110274,12110284,4,8,0,calc_extBIC,1958.628
profile,12110274,12110284,4,8,0,calcVC,1074.056
profile,12110274,12110284,3,8,0,find_qtl,39529.357
profile,12110274,12110284,3,8,0,constructX,20583.481
profile,12110274,12110284,3,8,0,calc_extBIC,1857.577
profile,12110274,12110284,3,8,0,calcVC,1156.916
profile,12110274,12110284,2,8,0,find_qtl,40605.975
profile,12110274,12110284,2,8,0,constructX,20754.614
profile,12110274,12110284,2,8,0,calc_extBIC,1982.193
profile,12110274,12110284,2,8,0,calcVC,1239.629
profile,12110274,12110284,1,8,0,invMMt,182.631
profile,12110274,12110284,1,8,0,find_qtl,40724.046
profile,12110274,12110284,1,8,0,constructX,0.135
profile,12110274,12110284,1,8,0,calc_extBIC,1979.822
profile,12110274,12110284,1,8,0,calcVC,1571.994
profile,12110274,12110284,1,8,0,MMt,35512.42
profile,12110274,12110283,4,4,0,find_qtl,55344.836
profile,12110274,12110283,4,4,0,constructX,20414.531
profile,12110274,12110283,4,4,0,calc_extBIC,2166.644
profile,12110274,12110283,4,4,0,calcVC,1225.179
profile,12110274,12110283,3,4,0,find_qtl,54440.275
profile,12110274,12110283,3,4,0,constructX,20222.952
profile,12110274,12110283,3,4,0,calc_extBIC,2088.396
